system_name,question,retrieval_f1,semantic_f1,predicted_answer,predicted_titles,gold_titles,hop_count,persona,error
LLM_Only_Baseline,"Under what circumstances can awards be conferred outside of the official graduation ceremony, and who has the authority to make this decision?",0.0,0.17754385964912278,"Awards are typically conferred during the official graduation ceremony to ensure proper recognition and adherence to institutional tradition. However, exceptions can be made under specific circumstances, and the authority to approve such deviations usually rests with senior academic or administrative officials.

**Circumstances under which awards can be conferred outside of the official graduation ceremony:**

1.  **Unavoidable Personal Emergencies:** Severe illness, injury, family bereavement, or other critical personal events that genuinely prevent the recipient from attending the official ceremony.
2.  **Military Deployment or Unavoidable Professional Obligations:** When a recipient's service or critical work commitments make attendance impossible.
3.  **Geographical or Logistical Barriers:** For recipients who have already departed or reside in distant locations (e.g., international students returning home), making attendance impractical, excessively burdensome, or impossible.
4.  **Administrative Necessity:** In rare cases, due to unforeseen logistical issues with the ceremony itself, the award presentation, or a large volume of awards that cannot all be presented individually during the main event.
5.  **Special Institutional Events:** Occasionally, certain high-profile or distinguished awards might be presented at separate, dedicated institutional events (e.g., an annual awards gala, a research symposium) if they are not exclusively tied to the act of graduation itself but rather to broader achievements.

**Who has the authority to make this decision:**

The authority typically resides with a combination of academic and administrative offices, guided by established institutional policies:

1.  **The Registrar's Office or Graduation Office:** As the primary administrators of the graduation process, they are often the first point of contact and have the authority to approve logistical exceptions based on documented circumstances and institutional policy.
2.  **The Dean of the Relevant Faculty/School:** For awards specific to a particular academic unit, the Dean or an Associate Dean may approve requests for alternative conferral, especially if the award is internal to their faculty.
3.  **An Awards Committee or Scholarship Committee:** If a specific committee is responsible for the administration and selection process of the award, they may also have a say in the method of conferral.
4.  **The Provost or Vice-President Academic:** For highly unusual or complex exceptions, or when a deviation from standard policy requires higher-level approval.
5.  **The President or Chancellor:** In very rare and exceptional cases, particularly for significant institutional awards or when policy needs to be overridden at the highest level.

The decision-making process prioritizes fairness, consistency, and the integrity of the award, often requiring formal requests and supporting documentation from the recipient.",[],['Awards Policy'],1,An administrative staff member managing university resources.,
LLM_Only_Baseline,"I just spilled about 150 mL of concentrated sulfuric acid in my lab. How do I determine if this is classified as a major or minor spill, and what does that classification mean for my response?",0.0,0.7241379310344827,"Given the volume (150 mL) and the nature of the chemical (concentrated sulfuric acid, which is extremely corrosive and hazardous), this spill should be classified as a **major spill**.

**Why it's a Major Spill:**
*   **High Hazard:** Concentrated sulfuric acid is highly corrosive, can cause severe burns, and its fumes can be irritating. It reacts exothermically with water.
*   **Significant Volume:** 150 mL is a substantial amount of such a dangerous chemical, posing a significant risk of injury and widespread contamination.
*   **Beyond Routine Cleanup:** It's not a small drip or a few milliliters that can be easily contained and neutralized with standard lab spill kits by untrained personnel.

**What this Classification Means for Your Response:**

**IMMEDIATE ACTIONS (Prioritize Safety!):**

1.  **Ensure Personal Safety:** If any acid is on your skin or clothing, immediately proceed to an emergency shower or eyewash station and flush the affected area for at least 15 minutes. Remove contaminated clothing. Seek immediate medical attention.
2.  **Alert Others & Evacuate:** Immediately alert everyone in the vicinity to the spill and evacuate the immediate area. Depending on the ventilation and spread, you may need to evacuate the entire lab or even the building.
3.  **Call Emergency Services:** Do NOT attempt to clean this up yourself. Immediately contact your institution's emergency services (e.g., campus police, HAZMAT team, fire department). Provide clear and concise information:
*   Your exact location (building, room number).
*   The chemical spilled (concentrated sulfuric acid).
*   The approximate volume (150 mL).
*   Any injuries or immediate hazards (e.g., fumes, spread).
4.  **Restrict Access:** Prevent anyone from entering the contaminated area until emergency responders arrive. Close doors if safe to do so, but do not re-enter the spill area.
5.  **Provide Information:** Be prepared to provide information to emergency responders upon their arrival, such as the exact location of the spill, the chemical's Safety Data Sheet (SDS) if readily available, and any other relevant details.

**Do NOT:**
*   Attempt to clean up the spill yourself. You do not have the necessary specialized training, personal protective equipment (PPE), or neutralization materials for a spill of this magnitude and hazard.
*   Put yourself or others at further risk.
*   Try to neutralize it with water, as this can generate significant heat and splatter the acid.

A major spill requires professional intervention from trained HAZMAT personnel to ensure safe and effective containment, neutralization, and disposal.",[],['Chemical Spill and Response Guideline'],1,A PhD candidate conducting complex laboratory research.,
LLM_Only_Baseline,I've received a nomination form for someone to be appointed as an Honorary Professor. What committee needs to review this application and who are the members of that committee?,0.0,0.27272727272727276,"The committee responsible for reviewing nominations for Honorary Professor appointments is typically the **Honorary Degrees and Titles Committee** or a similar **Academic Appointments and Promotions Committee** with a specific remit for honorary academic titles.The members of such a committee commonly include: the **Vice-Chancellor** (or President), **Pro-Vice-Chancellors** (especially those for Academic Affairs, Research, or External Relations), **Deans of Faculties** or **Heads of Colleges**, the **Registrar** or **University Secretary**, and potentially other senior academic staff or representatives from the **Academic Senate/Council**. It is advisable to consult the specific university's governance documents or academic regulations for the precise name and composition of the relevant committee.",[],['Honorary and Adjunct Title Holders Procedure'],1,An administrative staff member managing university resources.,
LLM_Only_Baseline,"I'm a PhD student starting a research project that involves working with laboratory mice on a regular basis. What level of health surveillance do I need to undergo, and what does this process actually involve?",0.0,0.5833333333333334,"As a PhD student working regularly with laboratory mice, you will typically need to undergo a 'moderate' to 'high' level of health surveillance, often managed by your institution's Occupational Health (OH) department. This is primarily due to the risk of developing laboratory animal allergies (LAA), which is the most common occupational health hazard for rodent handlers, and to a lesser extent, the potential for zoonotic diseases (though specific pathogen-free lab mice significantly reduce this risk).The process generally involves several steps:1.  **Initial Health Questionnaire:** You will likely start by completing a detailed questionnaire about your medical history, pre-existing conditions (especially allergies or respiratory issues like asthma), and previous animal exposures. This helps identify individuals who might be at higher risk.2.  **Occupational Health Review:** An Occupational Health professional (nurse or physician) will review your questionnaire. They may conduct an interview to discuss your work activities, potential exposures, and any concerns.3.  **Physical Examination (Less Common for Mice, but Possible):** While not always required for rodent work, a basic physical exam, particularly focusing on respiratory and skin health, might be part of the initial assessment, especially if your questionnaire indicates pre-existing conditions.4.  **Allergy Assessment/Education:** A key component will be education on the symptoms of laboratory animal allergies (e.g., runny nose, itchy eyes, skin rash, asthma-like symptoms) and the importance of reporting them early. You may be advised on preventative measures like proper use of personal protective equipment (PPE) such as N95 respirators, gloves, and lab coats. Allergy testing (e.g., skin prick tests or blood tests for specific animal allergens) might be offered or recommended if you develop symptoms.5.  **Vaccination Review:** While there are no specific vaccinations routinely required for handling laboratory mice, your tetanus vaccination status will likely be reviewed and updated if necessary, as a general occupational health precaution.6.  **Training and Information:** You will receive information on the specific hazards associated with working with mice, how to minimize exposure, and the procedures for reporting any health concerns or incidents.7.  **Ongoing Surveillance:** This typically involves annual or biennial follow-up questionnaires to monitor for the development of new symptoms or changes in your health status related to your work. If you develop symptoms suggestive of LAA or other work-related illness, you will be advised to contact Occupational Health for further evaluation and management.The primary goal is to protect your health by identifying risks, implementing preventative measures, and providing early intervention if health issues arise. You should contact your university's Occupational Health Services or the Institutional Animal Care and Use Committee (IACUC) office for the specific requirements and procedures at your institution.",[],['Health Surveillance for Laboratory Animal Allergy (LAA) Guideline'],1,A PhD candidate conducting complex laboratory research.,
LLM_Only_Baseline,"Who has the authority to approve naming requests for scholarships and prizes, and does it matter whether they are honorary or philanthropically funded?",0.0,0.19047619047619047,"The authority to approve naming requests for scholarships and prizes varies by institution but generally involves a hierarchy of academic and administrative leadership. **Yes, it absolutely matters whether they are honorary or philanthropically funded.**

For **philanthropically funded** scholarships and prizes, approval typically involves:
1.  The **Development/Advancement Office** (for donor relations and gift agreements).
2.  The **relevant Academic Unit** (Department/Faculty/College) for academic alignment.
3.  **Senior Administration** (e.g., Dean, Provost/VP for Academic Affairs, President/Chancellor).
4.  Often, the institution's **Board of Trustees/Regents** for significant gifts, endowments, or high-profile namings, due to the financial and long-term implications.

For **honorary** scholarships and prizes (not directly funded by a naming gift), approval usually resides with:
1.  The **relevant Academic Unit**.
2.  The **Dean** of the college or the **Provost/VP for Academic Affairs**, to ensure institutional consistency and appropriateness.

The funding source matters because:
*   **Philanthropically funded** namings involve formal gift agreements, legal considerations, and significant financial commitments, necessitating higher-level approvals and adherence to specific gift acceptance and naming policies.
*   **Honorary** namings are internal institutional decisions, often recognizing legacy or merit, and while still requiring approval for appropriateness, the process is generally less complex from a financial and legal standpoint.",[],['Naming Policy'],1,An administrative staff member managing university resources.,
LLM_Only_Baseline,"I'm working with a hiring manager who wants to start recruiting for a new position, but we're unsure about what background checks will be required. What's the process for determining which background checks and conditions of employment are needed for a specific role?",0.0,0.5704787234042553,"The process for determining which background checks and conditions of employment are needed for a specific role typically involves these steps:1.  **Understand the Role's Nature and Responsibilities:** Clearly define the job duties, access levels (e.g., to sensitive data, financial systems, company assets), level of supervision, interaction with vulnerable populations, and any driving requirements. This forms the foundation for all subsequent decisions.2.  **Identify Legal and Regulatory Requirements:** Research federal, state, and local laws that apply to the position or industry (e.g., FCRA for background checks, DOT regulations for drivers, specific licensing board requirements, healthcare compliance, financial industry regulations). Ensure compliance with 'ban the box' laws and other fair hiring practices.3.  **Assess Risk:** Evaluate the potential risks associated with the role if an unsuitable candidate were hired. This includes financial risk, reputational damage, safety concerns for employees or customers, data breaches, and legal liabilities. The higher the risk, the more comprehensive the checks may need to be.4.  **Review Company Policy:** Consult existing company policies on background checks and conditions of employment. Are there standard checks for all employees? Are there different tiers based on job level or department? Ensure consistency where appropriate.5.  **Consult with Key Stakeholders:** Engage the hiring manager, legal counsel, HR, and potentially security or compliance officers. Legal counsel is critical to ensure all checks are legally permissible and compliant.6.  **Determine Specific Background Checks:** Based on the above, select relevant checks. Common checks include:    *   **Criminal History:** State, federal, national, and sex offender registries (scope depends on job relevance and legal limits).    *   **Employment Verification:** Confirming past employment dates, titles, and sometimes reasons for leaving.    *   **Education Verification:** Confirming degrees, certifications, or licenses.    *   **Reference Checks:** Speaking with professional references provided by the candidate.    *   **Credit Checks:** If the role involves significant financial responsibility or access to company funds (must be job-related and legally permissible).    *   **Motor Vehicle Records (MVR):** If driving is an essential job function or company vehicle use is required.    *   **Drug Screening:** If legally permissible and consistent with business necessity (e.g., safety-sensitive roles).    *   **Professional License/Certification Verification:** For roles requiring specific credentials.    *   **Sanctions/Watch List Checks:** For roles with national security implications or international dealings.7.  **Define Conditions of Employment:** Beyond background checks, identify other conditions:    *   **Drug-Free Workplace Policy:** Acknowledgment and adherence.    *   **Confidentiality/Non-Disclosure Agreements (NDAs):** If access to proprietary information is involved.    *   **Non-Compete/Non-Solicitation Agreements:** If applicable and legally enforceable in your jurisdiction.    *   **Physicals/Medical Exams:** Only if job-related and consistent with business necessity (e.g., for physically demanding roles, and after a conditional offer of employment).    *   **Proof of Eligibility to Work:** I-9 verification.8.  **Document the Rationale:** Crucially, document the business necessity and job-relatedness for each background check and condition of employment. This documentation is vital for demonstrating compliance and defending against potential discrimination claims.9.  **Communicate Clearly:** Ensure candidates are fully informed about the background check process and all conditions of employment before they accept an offer.This systematic approach helps ensure that the chosen checks are relevant, legally compliant, and effective in mitigating risk while promoting fair hiring practices.",[],['Background Checks and Conditions of Employment Procedure'],1,An administrative staff member managing university resources.,
LLM_Only_Baseline,What specific safeguards and protections does UQ have in place to ensure my child's safety when they participate in university activities or programs?,0.0,0.616,"The University of Queensland (UQ) is committed to ensuring the safety and well-being of children participating in its activities and programs. UQ has a comprehensive framework of safeguards and protections, including:1.  **Child Protection Policy and Procedures:** UQ has a dedicated Child Protection Policy and associated procedures that outline the university's commitment to child safety, define responsibilities, and provide guidelines for staff and volunteers.2.  **Blue Card Requirements:** All UQ staff, volunteers, and contractors who work with children in regulated activities are required to hold a valid Queensland 'Blue Card' (Working with Children Check). This involves a thorough background check by the Queensland Government.3.  **Mandatory Child Protection Training:** Staff and volunteers who work with children must complete mandatory child protection training, which covers identifying and responding to child safety concerns, UQ's policies, and reporting obligations.4.  **Code of Conduct:** UQ's Code of Conduct sets clear expectations for appropriate behavior and professional boundaries for all staff and affiliates, emphasizing respect, integrity, and the protection of vulnerable persons, including children.5.  **Risk Assessments:** All activities and programs involving children undergo specific risk assessments to identify potential hazards and implement control measures to mitigate risks to children's safety.6.  **Supervision Ratios:** UQ ensures appropriate adult-to-child supervision ratios are maintained for all activities, tailored to the age of the children and the nature of the activity.7.  **Reporting Mechanisms:** Clear and accessible channels are in place for reporting any child safety concerns, including direct reporting to UQ's Child Protection Officer, senior management, or external authorities like the Queensland Police Service or Child Safety Services. UQ has a 'Report It' system for confidential reporting.8.  **Safe Environments:** UQ strives to provide physically and emotionally safe environments, including secure facilities, appropriate amenities, and a culture that promotes open communication and respect.9.  **Parental Consent and Information:** Parents/guardians are provided with comprehensive information about activities and programs, and their informed consent is obtained for their child's participation, including details on emergency contacts and medical information.10. **Emergency Procedures:** Robust emergency plans and procedures are in place for all activities, including first aid, evacuation protocols, and communication strategies for parents/guardians in case of an incident.These measures are regularly reviewed and updated to ensure compliance with relevant legislation and best practices in child protection.",[],['Working with Children Policy'],1,A concerned parent asking about student safety and wellbeing.,
LLM_Only_Baseline,"When do faculties need to submit their University Medal nominations, and what specific documentation must be included in each submission?",0.0,0.1111111111111111,"The specific deadlines for faculties to submit University Medal nominations and the exact documentation required can vary significantly between universities. However, general practices are as follows:

**1. Submission Deadlines:**
Faculties typically need to submit their University Medal nominations annually. These deadlines are usually set by the university's academic board or awards committee and often fall in the latter part of the academic year (e.g., **September to November**). This timing allows for the assessment process to be completed in time for the medals to be awarded at subsequent graduation ceremonies (e.g., the following April or December). Faculties are usually notified well in advance of the specific date for their institution.

**2. Specific Documentation:**
While exact requirements differ, a comprehensive University Medal nomination package commonly includes:

*   **Official Nomination Form:** A completed form provided by the university, often signed by the Head of School or Dean.
*   **Official Academic Transcript:** A certified copy of the nominee's complete academic record, demonstrating exceptional performance.
*   **Letters of Recommendation/Support:** Typically, at least two letters, often from:
*   The Head of School or Dean, detailing the nominee's overall academic excellence and standing within the faculty.
*   The nominee's primary supervisor (especially for research degrees), commenting on the quality and originality of their thesis or major project.
*   Other senior academics familiar with the nominee's work.
*   **Curriculum Vitae (CV):** A detailed resume outlining the nominee's academic achievements, research experience, publications, presentations, awards, and any other relevant contributions.
*   **Statement of Achievement/Nominator's Statement:** A detailed statement from the nominator (e.g., Head of School) outlining the specific reasons for the nomination, highlighting the nominee's outstanding academic record, intellectual capacity, research contributions, and any other exceptional achievements that warrant the medal.
*   **Thesis Examiners' Reports (for research degrees):** Copies of the full, unedited reports from the examiners of the nominee's thesis, particularly those indicating exceptional merit and recommending the award of a medal.
*   **Evidence of Exceptional Performance:** This might include:
*   Copies of published papers or significant research outputs.
*   Details of major awards, scholarships, or prizes received.
*   Any other supporting documentation that demonstrates the nominee's pre-eminence in their field.

Faculties should always consult their specific university's academic regulations or awards office for the precise deadlines and required documentation for the current academic year.",[],['Award of University Medals Procedure'],1,An administrative staff member managing university resources.,
LLM_Only_Baseline,"What is the minimum purchase amount that requires me to obtain a valid tax invoice, and do I need to include GST in this threshold calculation?",0.0,0.4444444444444445,"The minimum purchase amount that generally requires a valid tax invoice is $82.50. Yes, you need to include GST in this threshold calculation, as the $82.50 amount is GST-inclusive.",[],['Taxes Procedure'],1,An administrative staff member managing university resources.,
LLM_Only_Baseline,What kind of support does UQ provide if I or someone I know experiences sexual misconduct?,0.0,0.7142857142857143,"UQ provides a range of support services for individuals who have experienced or witnessed sexual misconduct. This includes confidential support and advice from trained staff, assistance with reporting options (both formal and informal), safety planning, academic adjustments, and access to counselling and welfare services. UQ's Sexual Misconduct Support Unit (SMSU) is a key point of contact for these services, offering a safe and confidential space to discuss options and receive support.",[],['Sexual Misconduct Prevention and Response Policy'],1,A first-year undergraduate student new to the university.,
